iter	Logloss
0	0.6450126323
1	0.6125152922
2	0.581972585
3	0.5445422194
4	0.524490227
5	0.502571628
6	0.4892371841
7	0.4751328113
8	0.4647513313
9	0.4530637898
10	0.4440109714
11	0.4374541812
12	0.4289735178
13	0.421770515
14	0.412014052
15	0.4040713798
16	0.3985260581
17	0.3937514884
18	0.3883366054
19	0.38430646
20	0.3795259576
21	0.3755454257
22	0.3708139675
23	0.3674380573
24	0.36276029
25	0.3598807827
26	0.356541878
27	0.3491099746
28	0.3435920836
29	0.338778517
30	0.3355191003
31	0.3281786366
32	0.3248102308
33	0.3219607215
34	0.3179792934
35	0.3149897623
36	0.3125243319
37	0.3101057835
38	0.3075055553
39	0.3032269969
40	0.2998308983
41	0.297361094
42	0.2972010882
43	0.2941906166
44	0.2904257774
45	0.2873617983
46	0.2837776816
47	0.281776587
48	0.2802559435
49	0.278109991
50	0.2757840682
51	0.2732053001
52	0.2701785592
53	0.2689439824
54	0.2663256559
55	0.2630899604
56	0.2617684084
57	0.2596748503
58	0.2569754347
59	0.2558126565
60	0.2526085415
61	0.2502392853
62	0.2479789253
63	0.2459702978
64	0.2434634202
65	0.2414312432
66	0.2402146951
67	0.2393533422
68	0.2379152065
69	0.2352634445
70	0.2334400367
71	0.2325087606
72	0.2285256192
73	0.22688561
74	0.226016563
75	0.2242938999
76	0.2213678799
77	0.2185446836
78	0.2158339037
79	0.213236604
80	0.2115229815
81	0.2087085736
82	0.2068016227
83	0.2056137421
84	0.2037684584
85	0.2029992306
86	0.2007925698
87	0.1982409712
88	0.1965552447
89	0.1937424191
90	0.1933741515
91	0.1911870964
92	0.1885179477
93	0.1849055858
94	0.1833504501
95	0.1831515566
96	0.1822566753
97	0.1790089434
98	0.1773890662
99	0.1759917582
100	0.1735677851
101	0.1723797099
102	0.1709428101
103	0.1701980323
104	0.168647315
105	0.1677964644
106	0.1661329754
107	0.1626698487
108	0.1610218282
109	0.1582589153
110	0.1581064632
111	0.156749258
112	0.1563088565
113	0.1547405865
114	0.1539838365
115	0.1535899275
116	0.1531445131
117	0.1505293203
118	0.1478843926
119	0.1463536679
120	0.1451255049
121	0.1441908116
122	0.1430516335
123	0.1420575342
124	0.1415915764
125	0.1389307878
126	0.138219123
127	0.1381149065
128	0.1360110536
129	0.1350556023
130	0.1332986217
131	0.1327265411
132	0.1305716085
133	0.1296012819
134	0.1275824284
135	0.1256264918
136	0.1245025484
137	0.1232937937
138	0.1228062908
139	0.1218625705
140	0.1198586142
141	0.1186377017
142	0.1181574023
143	0.1174783034
144	0.1164247031
145	0.1153506319
146	0.1148760801
147	0.1142883821
148	0.1134615696
149	0.1127840097
150	0.1117695445
151	0.1099926186
152	0.1088678798
153	0.1083915652
154	0.1071110325
155	0.1059276832
156	0.105045936
157	0.1042431007
158	0.1036717791
159	0.1021282355
160	0.1019285804
161	0.1013890591
162	0.1007469711
163	0.1006763711
164	0.09918710679
165	0.09816304889
166	0.09775025179
167	0.09732739071
168	0.0966754174
169	0.09594528775
170	0.09514042039
171	0.09356098232
172	0.09352238898
173	0.09292924707
174	0.09228347071
175	0.09209369526
176	0.09079440047
177	0.09072324244
178	0.0900686753
179	0.08934224338
180	0.08931433171
181	0.08865019515
182	0.08835884732
183	0.08753745533
184	0.08597003895
185	0.0849491577
186	0.08442117943
187	0.08374432411
188	0.08329152017
189	0.08282410062
190	0.08237283046
191	0.08165761045
192	0.08101732875
193	0.08042647264
194	0.08025579993
195	0.07990684226
196	0.0789163615
197	0.07789222561
198	0.07729490221
199	0.07655583753
