iter	Passed	Remaining
0	138	27635
1	141	14034
2	144	9484
3	146	7202
4	149	5832
5	151	4913
6	154	4248
7	156	3747
8	158	3356
9	160	3041
10	161	2781
11	163	2566
12	165	2380
13	167	2219
14	168	2083
15	170	1962
16	172	1859
17	174	1764
18	176	1683
19	178	1606
20	180	1537
21	182	1473
22	184	1418
23	185	1362
24	187	1312
25	189	1266
26	190	1222
27	192	1181
28	193	1143
29	195	1109
30	197	1077
31	199	1047
32	201	1017
33	202	989
34	204	962
35	205	937
36	207	914
37	209	892
38	210	870
39	212	849
40	214	830
41	215	811
42	216	791
43	218	775
44	220	758
45	221	742
46	224	729
47	226	715
48	227	702
49	229	689
50	231	676
51	233	664
52	235	653
53	237	642
54	239	631
55	241	620
56	243	610
57	244	599
58	246	589
59	248	579
60	250	570
61	251	560
62	253	551
63	255	542
64	257	533
65	258	525
66	260	516
67	261	508
68	263	500
69	265	492
70	266	484
71	268	476
72	270	469
73	272	463
74	273	455
75	275	448
76	276	442
77	278	435
78	280	429
79	282	423
80	284	418
81	286	412
82	288	406
83	289	400
84	291	394
85	292	387
86	294	382
87	297	378
88	299	373
89	301	368
90	303	363
91	305	358
92	307	353
93	309	349
94	311	344
95	313	339
96	314	334
97	316	329
98	317	324
99	319	319
100	320	314
101	322	310
102	325	306
103	328	302
104	330	298
105	332	294
106	333	290
107	335	285
108	337	281
109	339	277
110	341	273
111	343	269
112	346	266
113	348	262
114	350	258
115	353	256
116	355	252
117	357	248
118	359	244
119	361	241
120	364	237
121	366	234
122	367	230
123	369	226
124	371	222
125	373	219
126	375	215
127	376	212
128	378	208
129	381	205
130	382	201
131	386	198
132	388	195
133	390	192
134	393	189
135	395	186
136	396	182
137	399	179
138	401	176
139	403	172
140	405	169
141	408	166
142	410	163
143	412	160
144	414	157
145	416	154
146	418	150
147	420	147
148	422	144
149	425	141
150	427	138
151	429	135
152	431	132
153	433	129
154	436	126
155	439	123
156	442	121
157	444	118
158	446	115
159	449	112
160	452	109
161	454	106
162	456	103
163	458	100
164	459	97
165	461	94
166	463	91
167	464	88
168	466	85
169	468	82
170	469	79
171	471	76
172	472	73
173	474	70
174	476	68
175	478	65
176	480	62
177	482	59
178	483	56
179	485	53
180	487	51
181	489	48
182	490	45
183	493	42
184	495	40
185	496	37
186	498	34
187	500	31
188	502	29
189	504	26
190	506	23
191	508	21
192	510	18
193	511	15
194	513	13
195	515	10
196	517	7
197	519	5
198	521	2
199	523	0
